Year,Recruitment
1991,26192.8934
1999,25583.75635
2000,35025.38071
2001,23299.49239
2002,16294.41624
2003,14162.43655
2004,6395.939086
2005,4568.527919
2006,11269.03553
2007,24822.33503
2008,13248.73096
2009,49949.23858
2010,21015.22843
2011,13096.4467
2012,11421.3198
2013,53756.34518
2014,50710.6599
2015,13096.4467
2016,8375.634518
2017,14771.5736
2018,17360.40609
2019,18426.39594
